,source,author,title,description,url,urlToImage,publishedAt,content
115,"{'id': 'cnn', 'name': 'CNN'}","Geneva Sands, Carma Hassan, Chuck Johnston, Miguel Marquez, Linh Tran and Ivana Kottasová, CNN",british family traumatized after being detained by us immigration,a british family has filed a complaint with the the department of homeland security over their detention by us immigration officials after crossing the us border while vacationing in british columbia canada earlier this month the family s lawyers said on tu,https://www.cnn.com/2019/10/15/world/british-family-detained-us-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190920163236-ice-officer-file-super-tease.jpg,2019-10-16T00:44:58Z, cnn a british family has filed a complaint with the the department of homeland security over their detention by us immigration officials after crossing the us border while vacationing in british columbia canada earlier this month the family s lawyers said 
116,"{'id': None, 'name': 'Ctvnews.ca'}",The Canadian Press,five things to watch for in the canadian business world in the coming week ctv news,statistics canada will release its consumer price index and kinder morgan canada hosts one of its last quarterly conference calls as its sale to pembina pipeline is expected to close late in the fourth quarter this week in canadian business ,https://www.ctvnews.ca/business/five-things-to-watch-for-in-the-canadian-business-world-in-the-coming-week-1.4636701,https://www.ctvnews.ca/polopoly_fs/1.4636715.1570977135!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-13T14:11:00Z,toronto five things to watch for in the canadian business world in the coming week aphria call aphria inc will hold a conference call to discuss its first quarter financial results on monday cannabis company aleafia health inc announced on oct 8 tha 
117,"{'id': None, 'name': 'Bbc.com'}",https://www.facebook.com/bbcnews,justin trudeau the good news and bad for canada s pm bbc news,justin trudeau the good news and bad for canada s pm bbc news canada election results live trudeau expected to maintain grip on power in minority government after fraught election against scheer the independent canadian dollar holds near three month h,https://www.bbc.com/news/world-us-canada-50130391,https://ichef.bbci.co.uk/images/ic/1024x576/p07rpjgm.jpg,2019-10-22T07:26:50Z,media caption canadians voted in favour of a progressive agenda justin trudeau s victory speech prime minister justin trudeau has retained power in canada s election but lost both his majority and by a slight margin the popular vote here is a breakdo 
118,"{'id': None, 'name': 'Huffingtonpost.ca'}",Melanie Woods,2019 advance voting turnout was the highest ever for a canadian election estimates huffpost canada,2019 advance voting turnout was the highest ever for a canadian election estimates huffpost canada roughly 4 7m ballots cast in advance polls elections canada says cbc ca about one million more people voted in advance polls this year compared to 2015 elect,https://www.huffingtonpost.ca/entry/canada-election-advance-polls-turnout-voting_ca_5da640efe4b02253a2f9e8b1,https://img.huffingtonpost.com/asset/5da6420b210000140f348518.jpeg?cache=KqFNq2NZ7E&ops=1200_630,2019-10-15T22:11:05Z,it appears a lot of people had a side of democracy with their turkey this thanksgiving in a preliminary estimate elections canada says 4 7 million people voted in advance polls on four days over this past long weekend this marks an increase of 29 per ce 
119,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,about one million more people voted in advance polls this year compared to 2015 elections canada the globe and mail,about one million more people voted in advance polls this year compared to 2015 elections canada the globe and mail roughly 4 7m ballots cast in advance polls elections canada says cbc ca advance polls see 4 7 million voters setting new record ctv news new,https://www.theglobeandmail.com/politics/article-about-one-million-more-people-voted-in-advance-polls-this-year/,https://www.theglobeandmail.com/resizer/2jkRwgIz7bTZp0OWG0x1JMdHABo=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/JR5LLVWSA5BBNK2AQIWBTGRGQE.jpg,2019-10-16T01:21:45Z,because this is only the second election in a row in which advance polls were open on the thanksgiving weekend phd candidate tim abray who is studying voter behaviour said not enough data or history are available to say what the impact will be doug ives 
120,"{'id': None, 'name': 'Yahoo.com'}",,tsx dips to end flat week ahead of election as loonie hits three month high yahoo canada finance,tsx dips to end flat week ahead of election as loonie hits three month high yahoo canada finance s p tsx composite edges lower while u s stock markets fall loonie up financial post at midday tsx flat despite cannabis stock rally the globe and mail tsx flat,https://ca.finance.yahoo.com/news/p-tsx-composite-edges-lower-153123034.html,https://s.yimg.com/uu/api/res/1.2/UTMA.2kkmkleZOAzkE1kNw--~B/aD03NjI7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-ca/the_canadian_press_business_130/a970204581ea12b872c60eb5ed93c98a,2019-10-18T21:23:00Z,toronto canada s main stock index ended a fairly flatweek lower on the eve of the federal election as the loonie hit a three month high the canadian dollar has risen to its highest level since july 22 in part due to waning expectations of domestic interest 
121,"{'id': None, 'name': 'Www.tsn.ca'}",Kristian Jack,canadian mens soccer team aiming to end more than 30 years of hurt tsn,canadian mens soccer team aiming to end more than 30 years of hurt tsn btc usmnt efficient vs cuba in nations league u s soccer berhalter talks up canada ahead of concacaf nations league game sportsnet ca concacaf game day canada vs united states toront,https://www.tsn.ca/canadian-men-s-soccer-team-aiming-to-end-more-than-30-years-of-hurt-1.1381031,https://www.tsn.ca/polopoly_fs/1.1363631!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/canada-soccer.jpg,2019-10-14T17:40:14Z,back in 1996 the football association in england approached ian broudie singer and guitarist of the band lightning seeds to make a song for the home nations european championships campaign broudie reluctantly agreed and after comedians david baddiel and 
122,"{'id': None, 'name': 'Ctvnews.ca'}",The Canadian Press,tories and ndp put dent in liberal dominance of atlantic provinces ctv news,tories and ndp put dent in liberal dominance of atlantic provinces ctv news canadian election results 2019 a live riding by riding map of the vote national post over to you canada maclean s editorial a divided canada on election day toronto sun how justin t,https://election.ctvnews.ca/tories-ndp-and-greens-score-wins-in-atlantic-canada-but-liberals-hold-fast-1.4648317,https://www.ctvnews.ca/polopoly_fs/1.4648355.1571691338!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-22T00:42:00Z,halifax atlantic canada s once monochromatic electoral map awash in liberal red since 2015 received a slight makeover monday as the tories ndp and greens punched holes in the liberals east coast fortress four years ago voters across the region hande 
123,"{'id': None, 'name': 'Huffingtonpost.ca'}",Sima Shakeri,investigation underway after 5 teens shot in toronto huffpost canada,investigation underway after 5 teens shot in toronto huffpost canada targeted shooting in toronto caught on video cbc news the national security video captures toronto apartment shooting that sent 5 teenagers to hospital cbc ca toronto police chief extends g,https://www.huffingtonpost.ca/entry/toronto-shooting-5-teens_ca_5dbb8cd5e4b057bf506f6c92,https://img.huffingtonpost.com/asset/5dbb994d210000ee3b34ba89.jpeg?ops=1200_630,2019-11-01T02:36:52Z,toronto cleaners were removing large bloodstains splattered along the hallway of a toronto residential building on thursday following a shooting that sent five teenagers to hospital some in critical condition police said the victims a 16 year old girl 
124,"{'id': None, 'name': 'Timminstoday.com'}",Canadian Press,canada dog owners have reduced risk of dying from heart problems says researcher timminstoday,canada dog owners have reduced risk of dying from heart problems says researcher timminstoday view full coverage on google news,https://www.timminstoday.com/local-news/canada-dog-owners-have-reduced-risk-of-dying-from-heart-problems-says-researcher-1737043,https://www.vmcdn.ca/f/files/shared/feeds/cp/2019/10/cpt50123335.jpg;w=630,2019-10-09T00:55:00Z,toronto cats may have nine lives butowning a dogmay extendyours a toronto researcher says a studyreleasedtuesday suggests dog owners live longer than their canine less counterparts experiencing nearly a one third lower risk of dying from heart pro 
125,"{'id': None, 'name': 'Yahoo.com'}",,10 things raptors flaws exposed in loss to celtics yahoo canada sports,10 things raptors flaws exposed in loss to celtics yahoo canada sports view full coverage on google news,https://ca.sports.yahoo.com/news/10-things-raptors-flaws-exposed-in-loss-to-celtics-022948098.html,https://s.yimg.com/uu/api/res/1.2/R_jBhG_BSrK0vQy0iYmB9w--~B/aD03Njg7dz0xNDA0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2019-10/e6f0e4a0-f797-11e9-bf99-85766d12dbf5,2019-10-26T02:29:00Z,here are 10 takeaways from the toronto raptors112 106 loss to the boston celtics one lessons learned not that its ever good to lose a completely winnable game but losses have a way of revealing the truth toronto beat itself friday with its sloppy execu 
126,"{'id': None, 'name': 'Hellomagazine.com'}",HELLO! Canada,margaret atwood receives special honour from the queen at windsor castle hello canada,margaret atwood receives special honour from the queen at windsor castle hello canada view full coverage on google news,https://ca.hellomagazine.com/royalty/02019102553492/margaret-atwood-receives-special-honour-from-queen-windsor-castle,https://ca.hellomagazine.com/images/stories/0/2019/10/25/000/737/429/featured_5_3.jpg,2019-10-25T17:03:50Z,october 25 2019 the queen of canadian literature was honoured by her majesty herself on oct 25 margaret atwood was welcomed to windsor castle to receive a very special award from the queen the handmaids tale author who recently won the booker 
127,"{'id': None, 'name': 'Vicnews.com'}",Wire Service,breast cancer awarness month men get breast cancer too victoria news, p according to bc cancer foundation more than 200 men in canada will be affected this year p ,https://www.vicnews.com/social-matters/breast-cancer-awarness-month-men-get-breast-cancer-too/,https://www.vicnews.com/wp-content/uploads/2019/10/18913750_web1_191021-BPD-M-Laurie-Rix-BC-Cancer-1024x683.jpg,2019-10-22T00:15:00Z,republished with permission from the bc cancer foundation laurie rix lost her husband neil macrae in 2017 to breast cancer a disease largely associated with women in 2015 the well known vancouver sportscaster noticed a lump inside his breast that was th 
128,"{'id': 'engadget', 'name': 'Engadget'}",Kris Holt,lyft will give people free and discounted rides to job interviews,lyft has announced a plan to help people making their way through the employment pipeline get to and from job interviews professional training programs and new places of work with free or discounted rides it s working with several nonprofit partners in,https://www.engadget.com/2019/10/17/lyft-jobs-access-program-free-discounted-rides/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D3000%252C2000%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-10%252Ff3ad4660-ee7e-11e9-9fae-a8d152f49d0b%26client%3Da1acac3e1b3290917d92%26signature%3D47ec73b17c3b5f9b1e1ee064375b9c6da39c1b84&client=amp-blogside-v2&signature=de1deb871e9b5040c61ce5cbd00b6bdef5bfe5ad,2019-10-17T19:32:00Z,the ridesharing company is aiming to help people from a range of backgrounds they include veterans people with disabilities refugees formerly incarcerated individuals those in low income areas and 18 to 24 year olds perhaps trying to land their first jo 
129,"{'id': 'engadget', 'name': 'Engadget'}",Christine Fisher,ubtechs latest educational dancing robot is bigger and more lifelike,there are plenty of educational coding robots but few have moves like ubtech s dancing robot meebot ubtech launched the jimu build your own bot kit for meebot in 2016 today the company unveiled meebot 2 0 the updated meebot 2 0 kit is 30 percent bigger t,https://www.engadget.com/2019/10/10/ubtech-meebot-2-educational-robot/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1200%252C748%252C0%252C51%26quality%3D85%26format%3Djpg%26resize%3D1600%252C998%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252Fbd2434c0-e9e5-11e9-9f7d-dfb52de9ab40%26client%3Da1acac3e1b3290917d92%26signature%3D4016186f1a66dae2786bc603c94fe94398f09e43&client=amp-blogside-v2&signature=9c92ff08aa5a6d34199455b59df2c103d6838620,2019-10-10T15:31:00Z,the updated meebot 2 0 kit is 30 percent bigger than the original and it comes with more lifelike led eyes that can be programmed to blink or flash in different colors the humanoid bot comes with a codable color sensor so users can program it to respond 
130,"{'id': 'engadget', 'name': 'Engadget'}",Richard Lawler,netflix grows to 158 million subscribers as disney looms,netflix just released its results for q3 in 2019 pdf showing that it added slightly fewer subscribers 6 77 million than the 7 million it anticipated while still notching an all time record for the quarter the company cited lower retention rates in th,https://www.engadget.com/2019/10/16/netflix-q3-earnings/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252F8a5eef20-f053-11e9-9fdc-5f4f9ddcd35b%26client%3Da1acac3e1b3290917d92%26signature%3D2dda63e06929ddf1ed98e6f659fb540792e57d0b&client=amp-blogside-v2&signature=aabd9eaf1fd0b33412d19a10aba99add9cf556c4,2019-10-16T20:35:00Z,netflix just released its results for q3 in 2019 pdf showing that it added slightly fewer subscribers 6 77 million than the 7 million it anticipated while still notching an all time record for the quarter the company cited lower retention rates in the 
131,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,boeing 737 max grounding a drag on canadian investment in machinery equipment,the global grounding of boeing s 737 max jet is weighing on canadian economic investment in machinery and equipment with carriers unable to take deliveries of the planes the bank of canada said on wednesday in a report ,https://www.reuters.com/article/us-canada-cenbank-boeing-idUSKBN1X92MY,https://s3.reutersmedia.net/resources/r/?m=02&d=20191030&t=2&i=1446688739&w=1200&r=LYNXMPEF9T1Y7,2019-10-30T21:47:08Z, reuters the global grounding of boeings ba n 737 max jet is weighing on canadian economic investment in machinery and equipment with carriers unable to take deliveries of the planes the bank of canada said on wednesday in a report investment in ma 
132,"{'id': 'business-insider', 'name': 'Business Insider'}",Mary Hanbury,canada goose just made its biggest coat ever for tacko fall one of the world s tallest basketball players,canada goose created a custom jacket for nba player tacko fall it was the largest coat canada goose has ever made a company spokesperson said the length from the back of the neck down to the low hip is 33 5 inches which is nine inches longer than canada g,https://www.businessinsider.com/canada-goose-gifts-largest-winter-jacket-nba-tacko-fall-2019-10,https://image.businessinsider.com/5db8537edee0195b02291693?width=1200&format=jpeg,2019-10-29T16:18:48Z,canada goose unveiled its largest coat on friday the new jacket which is almost four feet long was made bespoke for nba player tacko fall who is seven foot five news of the gift was first shared by reporters who attended a basketball game between fall 
133,"{'id': None, 'name': 'Castanet.net'}",,study red meat not so bad canada news castanet net,a canadian researcher who co led a study that challenges well worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry ,https://www.castanet.net/news/Canada/267557/Study-red-meat-not-so-bad,https://www.castanet.net/content/2019/10/CPT10122897_p3410525.jpg,2019-10-06T13:55:00Z,a canadian researcher who co led a study that challenges well worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry dalhousie university s bradley johnston said saturday tha 
134,"{'id': None, 'name': 'Huffingtonpost.ca'}",Maija Kappler,flu shot 2019 everything you need to know huffpost canada,flu shot 2019 everything you need to know huffpost canada quebec authorities are bracing for tougher flu season montreal gazette health check flu season is here what sober october is and don t pick at your face wfaa only 35 of pregnant women get flu an,https://www.huffingtonpost.ca/entry/flu-shot-2019_ca_5d9ce2cae4b06ddfc50fa75d,https://img.huffingtonpost.com/asset/5d9ce8fd2100003107ac6dd0.jpeg?cache=k7WDwI59cP&ops=1200_630,2019-10-08T20:37:29Z,the weather has gotten colder the topic of halloween costumeshas crept into every conversation and pumpkin has started to show up in themost unnatural of foods it can only mean one thing flu season is almost here most canadians are safe right now acc 
135,"{'id': None, 'name': 'Ctvnews.ca'}",CTVNews.ca Writer,elections canada reports historic turnout among international voters ctv news,elections canada reports historic turnout among international voters ctv news 578k ballots cast in advance polls in alberta elections canada says cbc ca minority government fever nanos finds liberals conservatives in dead heat ctv news commentary a lett,https://election.ctvnews.ca/elections-canada-reports-historic-turnout-among-international-voters-1.4645263,https://www.ctvnews.ca/polopoly_fs/1.2788082.1466025472!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-18T21:02:00Z,toronto elections canada has received more mailed in ballots from canadians living abroad than in any other federal election in history as of friday elections canada said it had received 21 842 ballots from international electors the biggest turnout among 
136,"{'id': None, 'name': 'Huffingtonpost.ca'}",Sima Shakeri,jagmeet singh uses tiktok to highlight ndp platform huffpost canada,jagmeet singh uses tiktok to highlight ndp platform huffpost canada ndp leader jagmeet singh reaches out to young voters on eve of election cbc ca jagmeet singh says minority governments are a good thing in final push for votes in bc toronto star singh make,https://www.huffingtonpost.ca/entry/jagmeet-singh-tiktok_ca_5dacfc4fe4b08cfcc31dbee1,https://img.huffingtonpost.com/asset/5dacfdde200000d2195063c0.png?cache=lJvIvlr2Ir&ops=1200_630,2019-10-21T00:39:11Z,ndp leader jagmeet singh has taken social media by storm in the last days of the federal election campaign with a pair of suave tiktok video that have been shared far and wide even if you dont know what tiktok is singhs video this week simplifying the nd 
137,"{'id': None, 'name': 'Youtube.com'}",,canada election justin trudeau attends rally in milton ont live global news,canada election justin trudeau attends rally in milton ont live global news where the party leaders are on day 40 of the federal election campaign cbc ca trudeau defends indigenous record despite brief mention of issues during campaign global news goldste,https://www.youtube.com/watch?v=VU40-6Nhi0A,https://i.ytimg.com/vi/VU40-6Nhi0A/maxresdefault.jpg,2019-10-19T18:32:06Z,liberal leader justin trudeau attended a campaign rally in milton ont on saturday afternoon for more info please go to to global news channel here global news on facebook here 
138,"{'id': None, 'name': 'Globalnews.ca'}",Staff,canada election what federal leaders have pledged on the economy global news,canada election what federal leaders have pledged on the economy global news whats more cringeworthy than one video about trudeaus blackface two videos maclean s elections canada contradicts scheer s claim that ruling was issued in support of conservativ,http://globalnews.ca/news/5974415/canada-election-economy-promises/,https://shawglobalnews.files.wordpress.com/2019/10/raw_3lsc_promise_tracker_economy_720x480.jpg?quality=70&strip=all&w=720&h=379&crop=1,2019-10-10T12:44:54Z,federal parties vying for victoryon oct 21 are making a range of promises on how they will better the economy liberal leaderjustin trudeau the conservativesandrew scheer new democratjagmeet singh bloc qubcois leaderyves franois blanchet and the 
139,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,trudeau singh battle for progressive mantle as campaign enters final week the globe and mail,trudeau singh battle for progressive mantle as campaign enters final week the globe and mail trudeau digs for ndp green votes issues dire warning about conservative cuts cbc ca abolishing the senate would see canadians better represented ndp leader says,https://www.theglobeandmail.com/politics/article-trudeau-singh-battle-for-progressive-mantle-as-campaign-enters/,https://www.theglobeandmail.com/resizer/L-kCRmGXGjVv-1pMJ9IZw4WAXIw=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/Y7CSH2AIIBC25N5HLJTNREOC44.jpg,2019-10-15T14:43:54Z,ndp leader jagmeet singh poses for a selfie during a campaign stop in toronto on oct 15 2019 nathan denette the canadian press party leaders entered the final week of the federal election campaign aiming to define the ballot box question to suit their m 
141,"{'id': None, 'name': 'Torontosun.com'}",, traumatized brits visiting canada detained after accidentally driving into u s toronto sun, traumatized brits visiting canada detained after accidentally driving into u s toronto sun british holidaymakers traumatised after arrest at us border bbc news british couple and baby detained in us for accidentally crossing border into canada after t,https://torontosun.com/news/national/brits-visiting-canada-detained-after-accidentally-driving-into-u-s,https://postmediatorontosun.files.wordpress.com/2019/10/886265002_60766882-e1571147694157.jpg,2019-10-15T13:53:00Z,the connors family didnt plan to be on the unmarked road originally from the united kingdom the two couples and their three young children were driving near the u s canada border on oct 3 during a visit to vancouver when an animal ventured into the road 
142,"{'id': None, 'name': 'Hellomagazine.com'}",HELLO! Canada,archie harrison is a redhead prince harry and meghan markle confirm his hair colour hello canada,archie harrison is a redhead prince harry and meghan markle confirm his hair colour hello canada trailer for harry and meghan s itv documentary released laineygossip prince harry becomes emotional while talking about fatherhood at wellchild awards etcanada ,https://ca.hellomagazine.com/royalty/02019101553376/archie-harrison-redhead-prince-harry-meghan-markle-confirm-hair-colour-wellchild-awards,https://ca.hellomagazine.com/images/stories/0/2019/10/15/000/735/319/featured_5_3.jpg,2019-10-15T19:08:09Z,october 15 2019archie harrison has ginger hair just like his dad prince harry and duchess meghan confirmed their sons hair colour while speaking with winners at the wellchild awards in london on oct 15 at a reception for winners held before the ceremo 
143,"{'id': None, 'name': 'Globalnews.ca'}","Patrick Cain, Amanda Connolly, Alexander Quon and jeffsemplegn",elections canada probes reports that robocalls told some voters to vote after monday global news,elections canada probes reports that robocalls told some voters to vote after monday global news robocalls tell voters to head to the polls a day late cbc ca british columbians head to the polls ctv news live canada election results 2019 real time results in,http://globalnews.ca/news/6061805/elections-canada-robocall-probe/,https://shawglobalnews.files.wordpress.com/2019/10/22008586.jpg?quality=70&strip=all&w=720&h=379&crop=1,2019-10-21T23:47:17Z,robocalls in quebec nova scotia and new brunswick are trying to misdirect voters by telling them to head to the polls at a future date officials at elections canada are urging voters to report any such robocalls to them and are reminding voters that monda 
144,"{'id': None, 'name': 'Calgaryherald.com'}",,madu fires shot at city hall spending ahead of alberta budget calgary herald,madu fires shot at city hall spending ahead of alberta budget calgary herald separatist talk renews in alberta following justin trudeau liberal victory global news read the full text of justin trudeau s victory speech liberal leader says he s on alberta and ,https://calgaryherald.com/news/local-news/madu-fires-shot-at-city-hall-spending-ahead-of-alberta-budget,https://postmediacalgaryherald2.files.wordpress.com/2019/09/74145456-20190926-ik-040-w.jpg,2019-10-23T02:01:50Z,municipal affairs minister kaycee madu has lobbed a grenade at albertas big cities just days ahead of the provincial budget with an op ed in the calgary herald accusing calgary and edmonton of excessive spending the minister said tax bills in calgary an 
145,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",Michelle McQuigge,mother of slain hamilton teen says everyone failed her son the globe and mail,mother of slain hamilton teen says everyone failed her son the globe and mail grieving hamilton mom says everyone failed her bullied son canada news castanet net hamilton high school stabbing victim just wanted people to be happy thespec com best frie,https://www.theglobeandmail.com/canada/article-two-teens-arrested-in-connection-with-fatal-hamilton-stabbing-released/,https://www.theglobeandmail.com/resizer/1HbVP6VsDcrepRN6qAnBf7g11f8=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/MSAEGL7KMZCBRPAOHTTB6CRQ74.jpg,2019-10-09T16:26:40Z,shari ann bracci selvey centre fights back tears at a vigil for her 14 year old murdered son devan selvey at his high school sir winston churchill secondary school in hamilton ont on oct 9 2019 the canadian press a mother who witnessed her son 
146,"{'id': None, 'name': 'Www.tsn.ca'}",The Canadian Press,typhoon causes canada namibia to be cancelled at rugby world cup tsn,typhoon causes canada namibia to be cancelled at rugby world cup tsn deadly typhoon hagibis plows north after paralyzing tokyo area cbc ca 7 dead after typhoon hagibis paralyzes tokyo moving on to northern japan global news rugby world cup scotland v japan ,https://www.tsn.ca/typhoon-causes-a-3rd-game-to-be-cancelled-at-rugby-world-cup-1.1380402,https://www.tsn.ca/polopoly_fs/1.1368029!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/matt-evans-team-canada.jpg,2019-10-12T21:41:35Z,kamaishi japan canada will leave the rugby world cup winless for the second straight tournament with the weather tying its hands this time tournament organizers decided to cancel canada s final pool b game against namibia because of typhoon hagibis the g 
147,"{'id': None, 'name': 'Huffingtonpost.ca'}",Ryan Maloney,eu germany happy about what liberal win means for fighting climate change huffpost canada,eu germany happy about what liberal win means for fighting climate change huffpost canada eu germany welcome continuity on climate change with liberal minority win cbc ca i thought britain had biased left wing media until i spent time in canada telegra,https://www.huffingtonpost.ca/entry/eu-germany-canada-election-liberals_ca_5db58461e4b079eb95a54258,https://img.huffingtonpost.com/asset/5db585e0210000cf2c34b291.jpeg?cache=2boql1jB8e&ops=1200_630,2019-10-27T12:00:55Z,ottawa the european union and germany say they appreciate the continuity in canadian climate change policy that will result from the federal election result the liberals won a minority mandate in mondays vote after a campaign that prime minister justin 
148,"{'id': None, 'name': 'Cp24.com'}",The Canadian Press,rcmp charge two montrealers over cyber attack of bell customer accounts cp24 toronto s breaking news,the rcmp say charges have been laid against two quebecers for their alleged involvement in a cyber attack of bell canada customer accounts ,https://www.cp24.com/news/rcmp-charge-two-montrealers-over-cyber-attack-of-bell-customer-accounts-1.4630038,https://www.cp24.com/polopoly_fs/1.4612867.1569553019!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-08T22:52:00Z,montreal the rcmp say charges have been laid against two quebecers for their alleged involvement in a cyber attack of bell canada customer accounts nana koranteng and jesiah russell francis of montreal are to appear on charges including unauthorized use o 
149,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,the verdict is in and year one of legalized cannabis in canada was a dud the globe and mail,the verdict is in and year one of legalized cannabis in canada was a dud the globe and mail view full coverage on google news,https://www.theglobeandmail.com/cannabis/article-the-verdict-is-in-and-year-one-of-legalized-cannabis-in-canada-was-a/,https://www.theglobeandmail.com/resizer/AaHsojx74U5V0avd-iW-42iSfx0=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/3JKALPR2VJFQ5GWGE7BHJQWBM4.jpg,2019-10-18T20:57:34Z,the bulk of cannabis sales are still underground jeff mcintosh the canadian press theres no getting around it year one of legalized cannabis in canada was a dud it was an unmitigated disaster for many investors the bubble burst and the shares of most 
150,"{'id': 'financial-post', 'name': 'Financial Post'}",,aphria the first large pot producer to report second profit soars in early trading financial post,aphria the first large pot producer to report second profit soars in early trading financial post aphria inc announces second consecutive quarter of profitability and positive adjusted ebitda canada newswire cannabis producer aphria reports 16 4m profit i,https://business.financialpost.com/cannabis/cannabis-business/pot-producer-aphria-soars-pre-market-after-posting-second-profitable-quarter,https://financialpostcom.files.wordpress.com/2019/10/aphria.jpg,2019-10-15T13:37:00Z,aphria inc became the first large pot producer to report a second consecutive profitable quarter tuesday sending its stock up as much as 18 per cent the company said it earned 16 4 million on revenue of 126 1 million in the quarter ended aug 31 a slig 
151,"{'id': None, 'name': 'Ctvnews.ca'}",Rachel Aiello,turnout at advance polls up more than 2 million canadians have voted already ctv news,turnout at advance polls up more than 2 million canadians have voted already ctv news about 2m people voted during the first two days advance polls canada news castanet net 25 increase in advance voting video citynews numbers show 25 increase in advanc,https://election.ctvnews.ca/turnout-at-advance-polls-up-more-than-2-million-canadians-have-voted-already-1.4637516,https://www.ctvnews.ca/polopoly_fs/1.4637520.1571065432!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-14T15:10:00Z,ottawa over the first two days of advance polling approximately two million canadians cast their ballot according to elections canada that s a 25 per cent increase from the number of voters who voted during the first two days of advance polls in the 2015 
152,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",The Canadian Press,federal leaders face off in final debate of 2019 campaign the globe and mail,federal leaders face off in final debate of 2019 campaign the globe and mail canada election 2019 french language leaders debate huffpost canada watch live federal leaders french debate for 2019 election global news federal leaders face off in final debate,https://www.theglobeandmail.com/canada/article-federal-leaders-face-off-on-climate-change-during-final-debate-of-201/,https://www.theglobeandmail.com/resizer/sP-5p1xJaugY6D4xcx68XmlVDw4=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/GLMAJUXSXBH67MK3D2OIMS474M.jpg,2019-10-11T00:44:28Z, froml new democratic partyleader jagmeet singh green party leader elizabeth may people s party of canada leader maxime bernier canadian prime minister and liberal party leader justin trudeau and conservative party leader andrew scheer take part in the f 
153,"{'id': None, 'name': 'Huffingtonpost.ca'}",Zi-Ann Lum,scheers vow to close border crossing loophole is specious refugee law expert huffpost canada,scheers vow to close border crossing loophole is specious refugee law expert huffpost canada elections canada contradicts scheer s claim that ruling was issued in support of conservative advertising practices the globe and mail whats more cringeworthy th,https://www.huffingtonpost.ca/entry/andrew-scheer-ms-13_ca_5d9e4e4de4b087efdba77f7d,,2019-10-09T21:45:07Z,conservative leader andrew scheer campaigns for the upcoming election in mississauga ont on oct 8 2019 ottawa andrew scheers promise to close a loophole in the safe third country agreement is specious according to a refugee law expert the conservati 
